date,count
2019.12.30,22952
2019.12.31,18436
2020.1.1,16236
2020.1.2,28890
2020.1.3,30809
2020.1.4,25709
2020.1.5,23206
2020.1.6,15381
2020.1.7,1920
2020.1.8,21522
2020.1.9,28711
2020.1.10,29395
2020.1.11,23246
2020.1.12,19842
2020.1.13,26786
2020.1.14,28435
2020.1.15,28391
2020.1.16,29026
2020.1.17,29626
2020.1.18,24635
2020.1.19,17682
2020.1.20,28611
2020.1.21,30618
2020.1.22,33011
2020.1.23,34466
2020.1.24,19230
2020.1.25,15233
2020.1.26,22685
2020.1.27,16836
2020.1.28,32098
2020.1.29,37990
2020.1.30,38079
2020.1.31,35857
2020.2.1,27151
2020.2.2,22384
2020.2.3,29681
2020.2.4,23006
2020.2.5,20311
2020.2.6,22401
2020.2.7,26540
2020.2.8,22046
2020.2.9,21099
2020.2.10,33956
2020.2.11,40563
2020.2.12,10698
2020.2.13,34375
2020.2.14,41229
2020.2.15,29837
2020.2.16,6798
2020.2.17,13777
2020.2.18,19773
2020.2.19,32721
2020.2.20,36027
2020.2.21,29779
2020.2.22,18290
2020.2.23,25159
2020.2.24,36094
2020.2.25,15939
2020.2.26,35773
2020.2.27,38526
2020.2.28,12644
2020.2.29,35697
2020.3.1,24431
2020.3.2,36641
2020.3.3,39447
2020.3.4,31269
2020.3.5,35851
2020.3.6,40897
2020.3.7,42379
2020.3.8,54245
2020.3.9,53020
2020.3.10,10606
2020.3.11,45245
2020.3.12,50094
2020.3.13,43554
2020.3.14,42569
2020.3.15,33215
2020.3.16,42441
2020.3.17,47241
2020.3.18,62119
2020.3.19,24256
2020.3.20,53839
2020.3.21,63759
2020.3.22,64436
2020.3.23,63686
2020.3.24,69998
2020.3.25,73460
2020.3.26,47633
2020.3.27,60183
2020.3.28,64677
2020.3.29,68430
2020.3.30,69293
2020.3.31,74621
2020.4.1,70258
2020.4.2,72129
2020.4.3,74856
2020.4.4,66405
2020.4.5,64111
2020.4.6,68414
2020.4.7,73685
2020.4.8,72863
2020.4.9,73382
2020.4.10,75021
2020.4.11,75637
2020.4.12,63335
2020.4.13,77604
2020.4.14,83798
2020.4.15,89789
2020.4.16,83970
2020.4.17,35656
2020.4.18,92829
2020.4.19,29375
2020.4.20,56129
2020.4.21,58746
2020.4.22,51337
2020.4.23,64765
2020.4.24,72883
2020.4.25,78419
2020.4.26,82600
2020.4.27,77149
2020.4.28,86541
2020.4.29,88827
2020.4.30,96877
2020.5.1,93249
2020.5.2,88508
2020.5.3,89287
2020.5.4,93579
2020.5.5,88219
2020.5.6,88561
2020.5.7,90645
2020.5.8,63474
2020.5.9,7600
2020.5.10,65932
2020.5.11,76042
2020.5.12,78200
2020.5.13,89183
2020.5.14,89149
2020.5.15,13782
2020.5.16,64549
2020.5.17,89449
2020.5.18,36761
2020.5.19,55556
2020.5.20,88257
2020.5.21,93930
2020.5.22,89317
2020.5.23,101256
2020.5.24,80357
2020.5.25,92531
2020.5.26,68498
2020.5.27,101949
2020.5.28,99792
2020.5.29,103999
2020.5.30,105172
2020.5.31,93547
2020.6.1,99930
2020.6.2,79833
2020.6.3,103887
2020.6.4,97656
2020.6.5,107343
2020.6.6,105033
2020.6.7,101848
2020.6.8,103582
2020.6.9,102084
2020.6.10,58133
2020.6.11,100031
2020.6.12,109210
2020.6.13,90396
2020.6.14,94406
2020.6.15,108320
2020.6.16,106519
2020.6.17,107723
2020.6.18,110377
2020.6.19,109124
2020.6.20,102333
2020.6.21,95453
2020.6.22,98394
2020.6.23,103214
2020.6.24,19756
2020.6.25,46415
2020.6.26,96150
2020.6.27,107001
2020.6.28,98568
2020.6.29,70053
2020.6.30,38086
